C,c1,c2,Time,R,EXP,c1,
,0.75,15,71,4.281361199,6,1.5,10
,0.75,15,94,6.790557811,6,1.5,10
,0.75,15,94,6.730416479,6,1.5,10
,0.75,15,94,6.951736581,6,1.5,10
,0.75,50,0,0.852503383,6,0,11
,0.75,50,23.5,1.697890042,6,1.5,11
,0.75,50,23.5,1.578810204,6,1.5,11
,0.75,50,23.5,1.434471007,6,1.5,11
,0.75,50,47.5,2.586678695,6,1.5,11
,0.75,50,47.5,2.798376184,6,1.5,11
,0.75,50,47.5,2.892196662,6,1.5,11
,0.75,50,71,3.742494863,6,1.5,11
,0.75,50,71,4.185135067,6,1.5,11
,0.75,50,71,4.046810004,6,1.5,11
,0.75,50,94,5.638249887,6,1.5,11
,0.75,50,94,6.640204481,6,1.5,11
,0.75,50,94,5.985866787,6,1.5,11
,0.75,150,0,0.933092768,6,0,12
,0.75,150,23.5,1.80253596,6,1.5,12
,0.75,150,23.5,1.691875908,6,1.5,12
,0.75,150,23.5,1.528291485,6,1.5,12
,0.75,150,47.5,2.362952939,6,1.5,12
,0.75,150,47.5,2.593895655,6,1.5,12
,0.75,150,47.5,2.759885731,6,1.5,12
,0.75,150,71,3.971031925,6,1.5,12
,0.75,150,71,4.05883827,6,1.5,12
,0.75,150,71,3.955395179,6,1.5,12
,0.75,150,94,5.736881672,6,1.5,12
,0.75,150,94,6.362351526,6,1.5,12
,0.75,150,94,4.647120734,6,1.5,12
,2.5,0,0,1.016087806,6,0,13
,2.5,0,0,0.972398982,7,5,13
,2.5,0,23.5,1.511451912,6,5,13
,2.5,0,23.5,1.676239162,6,5,13
,2.5,0,23.5,1.648574149,6,5,13
,2.5,0,26,1.99479001,7,5,13
,2.5,0,26,2.001948775,7,5,13
,2.5,0,26,1.917475342,7,5,13
,2.5,0,47.5,3.105096978,6,5,13
,2.5,0,47.5,3.368516013,6,5,13
,2.5,0,47.5,3.230190949,6,5,13
,2.5,0,53.5,3.298162584,7,5,13
,2.5,0,53.5,3.501471524,7,5,13
,2.5,0,53.5,3.525811327,7,5,13
,2.5,0,71,5.010274144,6,5,13
,2.5,0,71,5.074023956,6,5,13
,2.5,0,71,4.422091916,6,5,13
,2.5,0,94,6.752067358,6,5,13
,2.5,0,94,7.17065103,6,5,13
,2.5,0,94.5,9.272868279,7,5,13
